,x,y,z,pressure,altitude,HR,variance_x,variance_y,variance_z,label,slope
0,-0.948974609,0.358032227,-0.137451172,971.0262992,357.6255251,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
1,-0.92590332,0.318603516,-0.146484375,971.0262992,357.6255251,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
2,-0.907836914,0.306518555,-0.145385742,971.0262992,357.6255251,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
3,-0.907836914,0.306518555,-0.145385742,971.0341456,357.5579082,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
4,-0.925415039,0.338256836,-0.131347656,971.0341456,357.5579082,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
5,-0.925415039,0.338256836,-0.131347656,971.0453895,357.4610134,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
6,-0.929443359,0.348999023,-0.12890625,971.0453895,357.4610134,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
7,-0.930297852,0.356079102,-0.134155273,971.0453895,357.4610134,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
8,-0.930297852,0.356079102,-0.134155273,971.0557895,357.3713917,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
9,-0.935913086,0.356201172,-0.136474609,971.0557895,357.3713917,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
10,-0.935913086,0.356201172,-0.136474609,971.070739,357.242567,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
11,-0.935424805,0.35534668,-0.137695313,971.070739,357.242567,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
12,-0.938354492,0.361083984,-0.142333984,971.070739,357.242567,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
13,-0.938354492,0.361083984,-0.142333984,971.0780381,357.1796681,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
14,-0.939697266,0.362792969,-0.140380859,971.0780381,357.1796681,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
15,-0.94128418,0.358398438,-0.135253906,971.0780381,357.1796681,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
16,-0.94128418,0.358398438,-0.135253906,971.084593,357.123183,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
17,-0.94519043,0.356323242,-0.135009766,971.084593,357.123183,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
18,-0.94519043,0.356323242,-0.135009766,971.0977597,357.009724,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
19,-0.943969727,0.354248047,-0.133789063,971.0977597,357.009724,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
20,-0.94543457,0.354370117,-0.139526367,971.0977597,357.009724,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
21,-0.94543457,0.354370117,-0.139526367,971.1092059,356.9110908,55,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
22,-0.94543457,0.354370117,-0.139526367,971.1092059,356.9110908,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
23,-0.94921875,0.361694336,-0.146362305,971.1092059,356.9110908,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
24,-0.94921875,0.361694336,-0.146362305,971.1184799,356.8311771,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
25,-0.921875,0.415161133,-0.078735352,971.1184799,356.8311771,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
26,-0.911132813,0.437988281,-0.044067383,971.1184799,356.8311771,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
27,-0.911132813,0.437988281,-0.044067383,971.1294131,356.7369668,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
28,-0.932250977,0.399658203,-0.094482422,971.1294131,356.7369668,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
29,-0.932250977,0.399658203,-0.094482422,971.1405919,356.6406407,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
30,-0.936889648,0.3828125,-0.111816406,971.1405919,356.6406407,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
31,-0.941040039,0.370727539,-0.116821289,971.1405919,356.6406407,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
32,-0.941040039,0.370727539,-0.116821289,971.1549621,356.5168157,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
33,-0.938842773,0.363037109,-0.119140625,971.1549621,356.5168157,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
34,-0.938842773,0.363037109,-0.119140625,971.1623155,356.4534543,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
35,-0.934692383,0.360595703,-0.118041992,971.1623155,356.4534543,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
36,-0.935913086,0.356201172,-0.087402344,971.1623155,356.4534543,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
37,-0.935913086,0.356201172,-0.087402344,971.1734347,356.3576444,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
38,-0.940673828,0.353149414,-0.07824707,971.1734347,356.3576444,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
39,-0.94909668,0.351806641,-0.112548828,971.1734347,356.3576444,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
40,-0.94909668,0.351806641,-0.112548828,971.1778162,356.3198908,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
41,-0.953125,0.357421875,-0.118164063,971.1778162,356.3198908,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
42,-0.953125,0.357421875,-0.118164063,971.1886951,356.2261527,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
43,-0.953125,0.357421875,-0.118164063,971.1886951,356.2261527,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.4
44,-0.950683594,0.35168457,-0.10925293,971.1886951,356.2261527,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
45,-0.948608398,0.35949707,-0.105102539,971.1886951,356.2261527,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
46,-0.948608398,0.35949707,-0.105102539,971.1973918,356.1512182,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
47,-0.944458008,0.377563477,-0.108398438,971.1973918,356.1512182,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
48,-0.944458008,0.377563477,-0.108398438,971.2064992,356.0727458,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.3
49,-0.940429688,0.365234375,-0.109863281,971.2064992,356.0727458,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
50,-0.939575195,0.35534668,-0.102294922,971.2064992,356.0727458,62,0.016188364730156057,0.01782389731250649,0.02754492659095466,0,0.5
